Benchmark;OPT;IMem(32b);DMem(32b);Total(32b);I-BRAM(36Kb);I-BRAM(36Kb);Total(36Kb)
adpcm;		O0;1929;531;2460;1.9;0.5;2.4
adpcm;		O1;1930;530;2460;1.9;0.5;2.4
adpcm;		O2;1931;530;2461;1.9;0.5;2.4
adpcm;		O3;1932;530;2462;1.9;0.5;2.4
aes;		O0;1933;604;2537;1.9;0.6;2.5
aes;		O1;2774;589;3363;2.7;0.6;3.3
aes;		O2;2632;589;3221;2.6;0.6;3.1
aes;		O3;3649;589;4238;3.6;0.6;4.1
bf;		O0;1987;3656;5643;1.9;3.6;5.5
bf;		O1;1436;3655;5091;1.4;3.6;5
bf;		O2;1273;3655;4928;1.2;3.6;4.8
bf;		O3;2062;3655;5717;2;3.6;5.6
dfadd;		O0;1657;421;2078;1.6;0.4;2
dfadd;		O1;787;402;1189;0.8;0.4;1.2
dfadd;		O2;821;402;1223;0.8;0.4;1.2
dfadd;		O3;920;402;1322;0.9;0.4;1.3
dfdiv;		O0;1950;281;2231;1.9;0.3;2.2
dfdiv;		O1;917;262;1179;0.9;0.3;1.2
dfdiv;		O2;893;262;1155;0.9;0.3;1.1
dfdiv;		O3;1085;262;1347;1.1;0.3;1.3
dfmul;		O0;1515;263;1778;1.5;0.3;1.7
dfmul;		O1;667;244;911;0.7;0.2;0.9
dfmul;		O2;674;244;918;0.7;0.2;0.9
dfmul;		O3;695;244;939;0.7;0.2;0.9
dfsin;		O0;3637;297;3934;3.6;0.3;3.8
dfsin;		O1;1863;282;2145;1.8;0.3;2.1
dfsin;		O2;1794;282;2076;1.8;0.3;2
dfsin;		O3;2360;282;2642;2.3;0.3;2.6
gsm;		O0;2096;211;2307;2;0.2;2.3
gsm;		O1;1075;210;1285;1;0.2;1.3
gsm;		O2;1162;210;1372;1.1;0.2;1.3
gsm;		O3;2585;210;2795;2.5;0.2;2.7
jpeg;		O0;3976;5768;9744;3.9;5.6;9.5
jpeg;		O1;2363;5618;7981;2.3;5.5;7.8
jpeg;		O2;2325;5615;7940;2.3;5.5;7.8
jpeg;		O3;4255;5643;9898;4.2;5.5;9.7
mips;		O0;765;159;924;0.7;0.2;0.9
mips;		O1;431;161;592;0.4;0.2;0.6
mips;		O2;402;161;563;0.4;0.2;0.5
mips;		O3;419;161;580;0.4;0.2;0.6
mpeg2;		O0;1189;1083;2272;1.2;1.1;2.2
mpeg2;		O1;702;1083;1785;0.7;1.1;1.7
mpeg2;		O2;576;1083;1659;0.6;1.1;1.6
mpeg2;		O3;791;1083;1874;0.8;1.1;1.8
sha;		O0;848;4111;4959;0.8;4;4.8
sha;		O1;411;4110;4521;0.4;4;4.4
sha;		O2;442;4110;4552;0.4;4;4.4
sha;		O3;891;7870;8761;0.9;7.7;8.6
max;;4255;7870;9898;4.2;7.7;9.7
avg;;1571;1512.6;3083.6;1.5;1.5;3
geomean;;1292.9;674.4;2338.4;1.3;0.7;2.3
